,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,3,34.87746938545107,5.905714976651944,0.8309084761157906,0.3623480796813965,50.7063483673873,7.120839021308325,0.7401573189390203,0.3623480796813965,unharmonized,Random
Linear Regression,4,34.98746231556979,5.915020060453709,0.8265621867821833,0.38543057441711426,66.74343929417647,8.169665800641814,0.6873541161143603,0.38543057441711426,unharmonized,Random
Ridge Regression,0,40.427571692695075,6.358267978993577,0.7954736913304241,0.32956743240356445,57.30981656753387,7.5703247332947265,0.7490767042156214,0.32956743240356445,unharmonized,Random
Ridge Regression,1,42.07656969565565,6.486645488667902,0.7936393635821408,0.22672295570373535,48.51165305005645,6.9650307285794835,0.763151955551798,0.22672295570373535,unharmonized,Random
Ridge Regression,2,41.78155946690958,6.463865675190782,0.8017427933777976,0.5163319110870361,50.217792887626935,7.086451360704237,0.7158447049238761,0.5163319110870361,unharmonized,Random
Ridge Regression,3,40.73791112535145,6.382625723426955,0.802496121610284,0.4014739990234375,54.76032126568764,7.400021707109219,0.7193828948134522,0.4014739990234375,unharmonized,Random
Ridge Regression,4,41.34511933506152,6.43001705558092,0.7950463791850471,0.4994351863861084,51.64020463099629,7.186111927252197,0.7581021057405737,0.4994351863861084,unharmonized,Random
Linear Regression,0,33.930391451934796,5.82497995292128,0.8370309669454499,0.08546686172485352,45.27108375642223,6.728378984303888,0.7582339243192832,0.08546686172485352,combat,Stratified
Linear Regression,1,32.81077584782341,5.7280691203776,0.8364770017422666,0.3627750873565674,52.51892059334324,7.246993900462677,0.7588195390669772,0.3627750873565674,combat,Stratified
Linear Regression,2,33.20078238062049,5.76201200802467,0.8343682681693841,0.3524789810180664,48.681947882952706,6.9772450066593406,0.7767996720012529,0.3524789810180664,combat,Stratified
Linear Regression,3,34.340793434607534,5.860101828006706,0.8355870291559222,0.36415719985961914,42.3906451522903,6.5108098691553185,0.7706785841513686,0.36415719985961914,combat,Stratified
Linear Regression,4,33.14041114196289,5.756770895385962,0.8360974930783447,0.35161900520324707,49.19701090760412,7.014058091262441,0.7675437202012771,0.35161900520324707,combat,Stratified
Ridge Regression,0,43.1866728033075,6.5716567776556545,0.792572675809877,0.5062680244445801,50.77511219946347,7.125665737281217,0.7288401646233856,0.5062680244445801,combat,Stratified
Ridge Regression,1,42.750712005577824,6.538402863511687,0.7869381499167227,0.3761749267578125,52.35440817654121,7.235634607727315,0.7595750226158632,0.3761749267578125,combat,Stratified
Ridge Regression,2,41.75180348222593,6.46156354779754,0.7917090194281327,0.22829389572143555,58.26958725434188,7.633451857078938,0.7328416065275183,0.22829389572143555,combat,Stratified
Ridge Regression,3,43.65632456083277,6.607293285516602,0.7909871817362735,0.3325228691101074,48.250716813736645,6.946273591915067,0.7389772518043491,0.3325228691101074,combat,Stratified
Ridge Regression,4,42.05625656974372,6.485079534573475,0.7920024029275501,0.4500539302825928,56.26507815251528,7.501005142813547,0.7341470445332173,0.4500539302825928,combat,Stratified
Linear Regression,0,32.79210141162473,5.726438807114307,0.8341021442935226,0.36705780029296875,51.442790413163266,7.172362958827674,0.7747646862626938,0.36705780029296875,combat,Random
Linear Regression,1,33.136599750054486,5.756439850294146,0.8374846176243511,0.3703188896179199,49.05938115269628,7.004240226655299,0.7604777871439372,0.3703188896179199,combat,Random
