,Fold,MAE,RMSE,R2 Score,Runtime,MAE,RMSE,R2 Score,Runtime,Harmonization Strategy,Stratification Strategy
Linear Regression,1,58.994911023279045,7.680814476556444,0.7113785219739254,0.2755560874938965,64.30828395727471,8.01924460016495,0.6828111623094757,0.2755560874938965,unharmonized,Random
Linear Regression,2,58.43427171689075,7.644231270500046,0.7175949269485258,0.28255796432495117,61.43527920269811,7.838066037148329,0.6812486689824313,0.28255796432495117,unharmonized,Random
Linear Regression,3,54.44319492338591,7.37856320182906,0.7218174126199035,0.27934980392456055,277.4970166730274,16.65824170412434,-0.170547043503688,0.27934980392456055,unharmonized,Random
Linear Regression,4,58.54053177393384,7.651178456547321,0.7200845668717728,0.28498101234436035,61.09574610051859,7.816376788545866,0.667224941935125,0.28498101234436035,unharmonized,Random
Ridge Regression,0,63.833489835831415,7.989586336965852,0.6874058458324829,0.06817102432250977,67.44727341011284,8.212628897625464,0.6686695428528269,0.06817102432250977,unharmonized,Random
Ridge Regression,1,64.4969361525821,8.030998453030737,0.6844609014976535,0.25742006301879883,66.67063812879175,8.165209007048855,0.6711592828350572,0.25742006301879883,unharmonized,Random
Ridge Regression,2,64.151602017399,8.009469521597483,0.6899638290716317,0.2712278366088867,66.38354748371717,8.147609924616983,0.6555750312733417,0.2712278366088867,unharmonized,Random
Ridge Regression,3,61.58608840008167,7.847680447118223,0.6853201315267596,0.23697185516357422,77.21375363166918,8.787135689840529,0.674294404621044,0.23697185516357422,unharmonized,Random
Ridge Regression,4,64.75603311448076,8.047113340476868,0.6903647352076719,0.23047804832458496,63.761086685922386,7.985053956356362,0.6527074194449154,0.23047804832458496,unharmonized,Random
Linear Regression,0,62.204690636499606,7.886995032108211,0.7003698033662208,0.01253819465637207,72.44116665404174,8.511237668755452,0.6187085300875599,0.01253819465637207,combat,Stratified
Linear Regression,1,62.54113919315856,7.908295593435956,0.6968622209788773,0.28574275970458984,70.01403355655627,8.367438888725527,0.6411114245668591,0.28574275970458984,combat,Stratified
Linear Regression,2,62.31252381631711,7.893828210463989,0.6967295597221671,0.29883909225463867,70.39263233135608,8.390031724097119,0.6454350945830689,0.29883909225463867,combat,Stratified
Linear Regression,3,61.798413589760955,7.861196702141536,0.6921895164580327,0.2819557189941406,73.0477970481227,8.546800398284887,0.6638755956483107,0.2819557189941406,combat,Stratified
Linear Regression,4,64.44759035272412,8.027925656900674,0.6781752847693986,0.2913379669189453,62.201019357087226,7.886762286077046,0.7165008850047931,0.2913379669189453,combat,Stratified
Ridge Regression,0,67.5681493098956,8.219984751196051,0.6745348677608369,0.23118019104003906,75.01104495261892,8.660891695005713,0.6051820682811098,0.23118019104003906,combat,Stratified
Ridge Regression,1,67.52193795631408,8.217173355620172,0.6727202195012438,0.025751113891601562,75.92845118824293,8.713693315021073,0.6107944036707832,0.025751113891601562,combat,Stratified
Ridge Regression,2,68.03113523278532,8.248098885972775,0.6688975013198718,0.238602876663208,72.69937906930913,8.526393086722493,0.6338161024829708,0.238602876663208,combat,Stratified
Ridge Regression,3,66.61717322033839,8.161934404314849,0.6681878528909553,0.22623586654663086,79.32187720250135,8.906283018324837,0.6350058481683698,0.22623586654663086,combat,Stratified
Ridge Regression,4,69.84530787914538,8.357350529871615,0.6512213071834496,0.02151036262512207,65.68747805616341,8.104781184965045,0.7006103422794219,0.02151036262512207,combat,Stratified
Linear Regression,0,62.89085118378124,7.930375223391466,0.692021970266241,0.29350781440734863,68.16575401270546,8.256255447398988,0.6651400524157427,0.29350781440734863,combat,Random
Linear Regression,1,63.2063880940613,7.950244530456991,0.6907746645265862,0.27625393867492676,67.82396411639382,8.235530591066603,0.6654707135407991,0.27625393867492676,combat,Random
Linear Regression,2,63.64212619882724,7.977601531715359,0.6924260580262218,0.28245997428894043,64.62204299095836,8.03878367608921,0.6647144363341986,0.28245997428894043,combat,Random
Linear Regression,3,60.53430212362889,7.7803793046116265,0.6906943317030396,0.30365419387817383,77.53524659793784,8.805410075512546,0.672938272415787,0.30365419387817383,combat,Random
Linear Regression,4,63.40049380988284,7.962442703711145,0.6968463362466604,0.2902839183807373,66.00713972790949,8.124477812629529,0.6404736637553732,0.2902839183807373,combat,Random
