,Fold,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,2,0.995293379353624,0.9953172917864209,0.995293379353624,0.9952495789026182,0.9993039109452847,0.9994708344992176,0.9990364857552357,1.2917362079999961,0.7277289836888331,0.7342793909304135,0.7277289836888331,0.721470005964787,0.6467938979072942,0.8309324536499224,0.6656624830571747,1.2917362079999961,unharmonized,Random
SVM,3,0.9915280828365234,0.9914925559097342,0.9915280828365234,0.991432438240491,0.9987190156178034,0.9991220793855008,0.9984098921168876,1.2707720840000007,0.7352572145545797,0.7493227960587965,0.7352572145545797,0.7303187350851879,0.6279724141169903,0.8193688096342155,0.6433513171711269,1.2707720840000007,unharmonized,Random
SVM,4,0.9927854454203262,0.9927681193218023,0.9927854454203262,0.9927236199690832,0.9989662611613831,0.9992924077803054,0.9987256062330764,1.3897122500000023,0.7412060301507538,0.7643293103211585,0.7412060301507538,0.7434127508133396,0.628441502005548,0.8094028492206505,0.6231840982440406,1.3897122500000023,unharmonized,Random
NB,0,0.4876058989645435,0.6422699817430527,0.4876058989645435,0.5079808799750664,0.5719312070030125,0.8235872590242839,0.6554076238180833,0.041755041999998355,0.3462986198243413,0.48765948203638926,0.3462986198243413,0.3718171953767587,0.32096882763874457,0.6780274392190685,0.3715204591942561,0.041755041999998355,unharmonized,Random
NB,1,0.48509570128647633,0.6326329588106069,0.48509570128647633,0.4962113838324883,0.5759072051833384,0.8268479285364146,0.662022561288382,0.04248862499999717,0.3199498117942284,0.4520100657217433,0.3199498117942284,0.33721010161450454,0.2872382914418518,0.6568656273832509,0.32695869634991204,0.04248862499999717,unharmonized,Random
NB,2,0.48886099780357706,0.6310071555491014,0.48886099780357706,0.5035126490704468,0.5684648985297736,0.8250877599110256,0.6584325645607996,0.04240266600000098,0.37766624843161856,0.5479415141800342,0.37766624843161856,0.41378412438425805,0.3513715895613969,0.6926125392421061,0.39865489629671425,0.04240266600000098,unharmonized,Random
NB,3,0.5026670850329463,0.6178693747147939,0.5026670850329463,0.5137344794903823,0.5844600184604134,0.8302598129563729,0.6685906105590681,0.044006665999994254,0.36260978670012545,0.4818301551886755,0.36260978670012545,0.3786806842072658,0.3089292108727081,0.6662263860815806,0.34524838844990374,0.044006665999994254,unharmonized,Random
NB,4,0.49905897114178166,0.6304984125030156,0.49905897114178166,0.5170952297390763,0.5725939365349793,0.8228357047495655,0.6537755660611411,0.04190437500000144,0.3542713567839196,0.5005869513431996,0.3542713567839196,0.3797117924455595,0.30931800246078345,0.673068684576871,0.35657285960744645,0.04190437500000144,unharmonized,Random
SVM,0,0.9949796046438657,0.995034639831861,0.9949796046438657,0.9949269912096714,0.9977281140201454,0.9987628263167371,0.9976206846429301,6.730479958000004,0.027603513174404015,0.07025860195655825,0.027603513174404015,0.038983078482645324,0.003976145064757735,0.4936391265632539,0.0030303279315839465,6.730479958000004,combat,Stratified
SVM,1,0.9965484781926577,0.9966481630215259,0.9965484781926577,0.9965398393138618,0.9974000793655259,0.9991340987308182,0.9983278637115811,6.639948458000006,0.026348808030112924,0.05965223637950538,0.026348808030112924,0.034246813957768664,0.004902298271772487,0.49425769753271875,0.004302690028524864,6.639948458000006,combat,Stratified
SVM,2,0.9962347034828993,0.9963501815590107,0.9962347034828993,0.9962491338919784,0.9970818348223964,0.9990563396630204,0.9981791214709648,6.898328165999999,0.037641154328732745,0.07886031949955875,0.037641154328732745,0.04852578791229824,0.005517991922669491,0.49577994730409786,0.004880458682401402,6.898328165999999,combat,Stratified
SVM,3,0.9924694069657986,0.992671319859828,0.9924694069657986,0.9924405472420155,0.995028414771226,0.9976998470441467,0.9955372305933183,6.529955916000006,0.033877038895859475,0.0725340786230889,0.033877038895859475,0.04464606314019591,0.007874995996892693,0.504541183747888,0.010061071230828188,6.529955916000006,combat,Stratified
SVM,4,0.9962358845671268,0.9963314612335358,0.9962358845671268,0.9962345203535276,0.9970201509483305,0.9990697821272632,0.9982084903421174,7.095108874999994,0.03391959798994975,0.07027096806177299,0.03391959798994975,0.04255278536496884,0.00766182169579914,0.496253138624004,0.008145091746053615,7.095108874999994,combat,Stratified
NB,0,0.05867587072481958,0.11477314302104791,0.05867587072481958,0.03851132555966922,0.07555359984187951,0.5821227511265982,0.17909800191479497,0.04493829199999766,0.011292346298619825,0.010348554804056038,0.011292346298619825,0.009072483351027893,0.005705128205128205,0.4984533886022353,0.012513274612693652,0.04493829199999766,combat,Stratified
NB,1,0.06903043614684656,0.13125375259093192,0.06903043614684656,0.044937410395630276,0.08064762848867393,0.5809941030028773,0.17673165972670632,0.03947216699999956,0.01756587202007528,0.13106842968825402,0.01756587202007528,0.015060331411804878,0.004679349071234712,0.4970253591831948,0.009619143945060176,0.03947216699999956,combat,Stratified
NB,2,0.0724819579541889,0.05931274769851971,0.0724819579541889,0.044418752058873794,0.08281053649260472,0.5865246124820385,0.18768751689810567,0.04039383299999599,0.006273525721455458,0.0055533597593712064,0.006273525721455458,0.0038828933525646404,0.0020308865071452307,0.49601547890507086,0.00803024071136181,0.04039383299999599,combat,Stratified
NB,3,0.058362096015061184,0.18318883074317954,0.058362096015061184,0.039862625013248505,0.07329901300080044,0.5697690503117832,0.15438675025475188,0.03991545799999585,0.002509410288582183,0.002052653591318321,0.002509410288582183,0.001663496175173028,0.0010248655913978493,0.5004356309863927,0.005708716235032025,0.03991545799999585,combat,Stratified
NB,4,0.06430363864491845,0.13990684265323494,0.06430363864491845,0.04464871364473679,0.0738402338199746,0.5784051639364689,0.1715935073446372,0.03976399999999103,0.007537688442211055,0.00845692416083069,0.007537688442211055,0.0053091515779957995,0.002796792328042328,0.497324807104111,0.010344219924812029,0.03976399999999103,combat,Stratified
SVM,0,0.9959209287731409,0.9960397264695993,0.9959209287731409,0.9959268367239061,0.9978370624178015,0.9989421789323432,0.9979608233352371,6.749685916999994,0.037641154328732745,0.09043748725653157,0.037641154328732745,0.05054484547627212,0.007640756291606798,0.49866738087144763,0.006354642111113445,6.749685916999994,combat,Random
SVM,1,0.9965484781926577,0.9966730988221266,0.9965484781926577,0.9965656524923759,0.9974902616859898,0.9994395393855288,0.9989402265815779,6.926952666000005,0.02132998745294856,0.0424209692848668,0.02132998745294856,0.027888902543321065,0.0058764822676428165,0.49945979156799486,0.00547199149783057,6.926952666000005,combat,Random
SVM,2,0.995293379353624,0.9954248072122964,0.995293379353624,0.9952776993372892,0.9967205897039486,0.9987050927816332,0.9974970474387452,7.367534665999983,0.026348808030112924,0.05993507398777159,0.026348808030112924,0.03644146834050148,0.003954991087344028,0.5028500911847602,0.0030901393196475163,7.367534665999983,combat,Random
SVM,3,0.9934107310950737,0.9936254333457699,0.9934107310950737,0.9933818912673374,0.9944065057702149,0.998472788382412,0.997060624418189,6.291034499999995,0.04642409033877039,0.09203725887613998,0.04642409033877039,0.05758054792244642,0.007566990614434036,0.49248103284436945,0.007068879773838045,6.291034499999995,combat,Random
SVM,4,0.9952948557089084,0.995411986521195,0.9952948557089084,0.9952948402495083,0.9970649623885766,0.9987452038435967,0.9975744621418206,6.6141629580000085,0.02512562814070352,0.06450677899771193,0.02512562814070352,0.035351647855959914,0.003978568717236665,0.49367196883652775,0.003191015989729225,6.6141629580000085,combat,Random
NB,0,0.06087229369312833,0.09004842645398964,0.06087229369312833,0.038005270346752065,0.06881286900644186,0.5748912779674881,0.16462029634111464,0.04045320899999183,0.013801756587202008,0.0154161628562916,0.013801756587202008,0.010176456161243656,0.0036091593372091987,0.5026096123422609,0.015436213767693188,0.04045320899999183,combat,Random
NB,1,0.060244744273611546,0.17645670480710515,0.060244744273611546,0.04209833227790564,0.07438185294240024,0.5721092255385307,0.15903456726454052,0.04106708400001935,0.006273525721455458,0.006606010450213445,0.006273525721455458,0.00452251498675589,0.0025694444444444445,0.4988713160999603,0.0075210851230327795,0.04106708400001935,combat,Random
NB,2,0.06401004079071226,0.20578989037466028,0.06401004079071226,0.04085180733179755,0.08378457457311494,0.5856296973406823,0.1860092249466478,0.04286608300000694,0.0075282308657465494,0.007605914298695154,0.0075282308657465494,0.00562195954126219,0.0033168859649122806,0.5114332276882814,0.013278688524590165,0.04286608300000694,combat,Random
NB,3,0.06557891433950423,0.1707045734509641,0.06557891433950423,0.04032002781333071,0.08512461110435503,0.5828208455998651,0.18044803034721102,0.0398761659999991,0.013801756587202008,0.01067602027492087,0.013801756587202008,0.010621842491353155,0.004546957671957672,0.49512634125609295,0.011207046921332635,0.0398761659999991,combat,Random
