,Fold,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Accuracy,Precision,Recall,F1 (weighted),F1 (Macro),ROC AUC,Balanced Accuracy,Runtime,Harmonization Strategy,Stratification Strategy
SVM,3,0.7301537496077816,0.8295344755142006,0.7301537496077816,0.7276833951511479,0.7625214188203526,0.8549809530588691,0.715194065120768,4.5513657080000485,0.18193224592220827,0.11103472294286532,0.18193224592220827,0.13383470840351977,0.010258776815248019,0.49888295144487793,0.012604249306911702,4.5513657080000485,combat,Random
SVM,4,0.7672521957340025,0.8463031399904265,0.7672521957340025,0.7653612042040795,0.8081670862055524,0.8871134197966879,0.7787662190392255,4.432207542000015,0.14321608040201006,0.085034646341179,0.14321608040201006,0.10443125582318889,0.01268522036474164,0.49782138433534184,0.01672672464571567,4.432207542000015,combat,Random
NB,0,0.13649199874490117,0.18256637765160996,0.13649199874490117,0.12455898126082628,0.10229762024613183,0.5764811648784427,0.1672858280088978,0.011643083999956616,0.06524466750313676,0.06890665900248785,0.06524466750313676,0.06448940605508217,0.008467680604174199,0.49826182278565323,0.011975392512077295,0.011643083999956616,combat,Random
NB,1,0.12331346093504864,0.14254279375158482,0.12331346093504864,0.11109412063017965,0.10108999059142143,0.5850880199559214,0.18455142070564795,0.011913791999973,0.033877038895859475,0.056792877814140205,0.033877038895859475,0.04039302030048579,0.005390124198717949,0.4956506487843398,0.009370678033957299,0.011913791999973,combat,Random
NB,2,0.15312205836209603,0.15493029308154208,0.15312205836209603,0.13348533842033428,0.11447514052527681,0.5876412375112849,0.18945470348996513,0.011705042000016874,0.07026348808030113,0.07086349360638816,0.07026348808030113,0.06813039568546934,0.007678536761435173,0.49765846292618054,0.010871732717339615,0.011705042000016874,combat,Random
NB,3,0.1057420771885786,0.1502163564976966,0.1057420771885786,0.09782884369274923,0.08568482881451217,0.5667786540011933,0.14814613452223885,0.011620957999980419,0.060225846925972396,0.10131893409810601,0.060225846925972396,0.07223317593230007,0.008525796532064072,0.5008613371347265,0.017154371251220532,0.011620957999980419,combat,Random
NB,4,0.1471141781681305,0.14321261500302057,0.1471141781681305,0.12953905478623962,0.0984972896910808,0.5727185363573809,0.15972745511523156,0.010872541000026104,0.07914572864321608,0.0821122898679801,0.07914572864321608,0.07957795408042095,0.009625267974254129,0.49954562417507037,0.012660683967984476,0.010872541000026104,combat,Random
SVM,0,0.6852839661123313,0.8211738194656399,0.6852839661123313,0.6824888952686742,0.7279535715567544,0.8292126238773152,0.6646750712777847,4.590125917000023,0.17691342534504392,0.09623920876794095,0.17691342534504392,0.11271664262471472,0.010817319783116047,0.4996246900096514,0.014297753986869315,4.590125917000023,covbat,Stratified
SVM,1,0.6808911201757138,0.8192778173420561,0.6808911201757138,0.6745721101332072,0.7099375748120509,0.8149064945475416,0.6361408205590713,4.899562875000015,0.191969887076537,0.09469142778804902,0.191969887076537,0.11760721848195894,0.011730454664111902,0.5006166653169233,0.01636428111191046,4.899562875000015,covbat,Stratified
SVM,2,0.7063068716661437,0.8280320628678671,0.7063068716661437,0.7020265792102625,0.7453206430955952,0.838797552817858,0.6833928805525273,4.557631166999954,0.16311166875784192,0.07944480337040859,0.16311166875784192,0.10410876375102204,0.008674802080456597,0.49863180085114156,0.012502496680883062,4.557631166999954,covbat,Stratified
SVM,3,0.6630059617194854,0.8095091650842402,0.6630059617194854,0.6518166685948006,0.6719332467397168,0.7960100727357563,0.5987034011846236,4.365701208000019,0.18695106649937265,0.08503764115432874,0.18695106649937265,0.1121310144984065,0.010518796874029238,0.49851776905474854,0.015859364821740437,4.365701208000019,covbat,Stratified
SVM,4,0.6555834378920954,0.8211329882261548,0.6555834378920954,0.6520859388004714,0.6924875785109649,0.8000932245879012,0.6070817122042362,5.151845625000078,0.1871859296482412,0.08341393649880528,0.1871859296482412,0.11093197812466236,0.009143036718738342,0.498775395688035,0.013999336050460167,5.151845625000078,covbat,Stratified
NB,0,0.1346093504863508,0.14484015475888246,0.1346093504863508,0.12018122846009821,0.09809210364469895,0.5817719666312522,0.1779037949775632,0.011936125000033826,0.06398996235884567,0.08330107447214603,0.06398996235884567,0.07226709670429812,0.0069760049323056034,0.4952893913160543,0.006063053001227556,0.011936125000033826,covbat,Stratified
NB,1,0.11735174144963915,0.1520212905725893,0.11735174144963915,0.10427706239818228,0.09031789366682341,0.584812205526517,0.18401360359293367,0.011808958999949937,0.04265997490589712,0.07292549094973509,0.04265997490589712,0.050756177357935174,0.005267362233620213,0.4946344487258715,0.0051333592736786515,0.011808958999949937,covbat,Stratified
NB,2,0.11390021964229684,0.17780008012773874,0.11390021964229684,0.1065256143130431,0.1064935090617254,0.5817244707813842,0.17788366181551057,0.010773166000035417,0.04642409033877039,0.08844697297624943,0.04642409033877039,0.05743164345684631,0.007837972056362209,0.4864809390580426,0.011267629670959749,0.010773166000035417,covbat,Stratified
NB,3,0.14151239410103544,0.16342754102814158,0.14151239410103544,0.12656844570730572,0.10002996286566535,0.5798332786332497,0.17393296593450147,0.011998082999980397,0.07528230865746549,0.07689461235991482,0.07528230865746549,0.07075369390842767,0.010172286632836616,0.49983118897972606,0.016651453010673386,0.011998082999980397,covbat,Stratified
NB,4,0.12892095357590966,0.14212413782244557,0.12892095357590966,0.11173716150526306,0.0855179113351023,0.5723218599572488,0.1589940950153395,0.011251165999965451,0.06658291457286432,0.08332872080725717,0.06658291457286432,0.06857178645127825,0.007978484473351288,0.4985455299390852,0.00894030016681695,0.011251165999965451,covbat,Stratified
SVM,0,0.6648886099780358,0.8185087068028406,0.6648886099780358,0.6564546574480186,0.7182097801140827,0.8201246869820709,0.646961281853426,4.502096583000025,0.18318695106649938,0.08384941952968485,0.18318695106649938,0.1100141742962297,0.010641463372254656,0.5001818619038156,0.01520436438366838,4.502096583000025,covbat,Random
SVM,1,0.706620646375902,0.8231086930981224,0.706620646375902,0.701853624930819,0.7431798764563242,0.8428739586805585,0.6915631154586169,4.489406417000055,0.14554579673776663,0.06629290527722281,0.14554579673776663,0.08769676957950513,0.00845409176840014,0.49934143900138067,0.012668210342628949,4.489406417000055,covbat,Random
SVM,2,0.6912456855977408,0.8220692438266607,0.6912456855977408,0.6857463071354074,0.7245432779559553,0.8253982909287385,0.6569004425138081,4.385001958999965,0.15432873274780426,0.07468783537735382,0.15432873274780426,0.09978382050395364,0.008202618498775393,0.49819544545534844,0.011799231113765303,4.385001958999965,covbat,Random
SVM,3,0.655475368685284,0.8194988759191922,0.655475368685284,0.6493195360213692,0.6771033846669752,0.7966803111375569,0.6001616975886517,4.330204999999978,0.19698870765370138,0.10217988782987963,0.19698870765370138,0.12914940650404882,0.009642757894192614,0.4990626554988823,0.013225345236434649,4.330204999999978,covbat,Random
SVM,4,0.6838143036386449,0.8237579918498548,0.6838143036386449,0.6802006564814992,0.7209707008082225,0.8192619991480062,0.6448465660989899,4.704562917000089,0.16959798994974876,0.08048766560073092,0.16959798994974876,0.10529152438482561,0.009649480215597025,0.49900798170835853,0.013658570389106405,4.704562917000089,covbat,Random
NB,0,0.12174458738625667,0.14966597378626104,0.12174458738625667,0.1094908641042454,0.10478974006475653,0.583090904460602,0.18060625271497735,0.010826041000086661,0.06524466750313676,0.09036520105398733,0.06524466750313676,0.07297264054747475,0.009005804764733337,0.4980252015152568,0.011305480072463767,0.010826041000086661,covbat,Random
NB,1,0.12362723564480703,0.1657041175877861,0.12362723564480703,0.11415408769921105,0.11576529174682734,0.5866302085302111,0.1875413647050013,0.010900083999899834,0.03262233375156838,0.06185935524254075,0.03262233375156838,0.03872742698431009,0.0056072586272226535,0.49302867542046597,0.0052009684932621545,0.010900083999899834,covbat,Random
NB,2,0.14057106997176028,0.16150283562437928,0.14057106997176028,0.12270707944650175,0.10713379220484863,0.5912336213797568,0.19674102768002485,0.01092637499993998,0.07779171894604768,0.08293227936957713,0.07779171894604768,0.07555729610628065,0.008653660919265081,0.49743438748499075,0.010233857152946807,0.01092637499993998,covbat,Random
NB,3,0.11735174144963915,0.15422035273986814,0.11735174144963915,0.10508461101271137,0.08591675692891548,0.5710910061657472,0.1566354121529736,0.011248166000086712,0.0740276035131744,0.11699153467590191,0.0740276035131744,0.08893489861471039,0.009803123252742591,0.49773358027891274,0.010741160200465078,0.011248166000086712,covbat,Random
NB,4,0.12452948557089084,0.1572652086601839,0.12452948557089084,0.11248739424402739,0.09082627182927705,0.5759859445051321,0.16640913817834296,0.011699833999955445,0.04020100502512563,0.06127109154401517,0.04020100502512563,0.04690548362366647,0.006338065222625098,0.49944449883210645,0.008187519489969161,0.011699833999955445,covbat,Random
